24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 17:32:26 | GET | cafeteria-api/categorias
31-03-2026 18:32:30 | GET | cafeteria-api/categorias
31-03-2026 18:54:07 | GET | cafeteria-api/categorias
31-03-2026 19:05:26 | GET | Cafeteria-API/produtos
31-03-2026 19:08:39 | GET | cafeteria-api/categorias
31-03-2026 19:09:47 | GET | cafeteria-api/categorias
31-03-2026 19:09:59 | GET | cafeteria-api/categorias
31-03-2026 19:10:59 | GET | cafeteria-api/produtos
31-03-2026 19:11:05 | GET | cafeteria-api/produtos
31-03-2026 19:11:09 | GET | cafeteria-api/produtos
31-03-2026 19:11:21 | GET | cafeteria-api/produtos
31-03-2026 19:12:00 | GET | cafeteria-api/produtos
31-03-2026 19:12:03 | GET | cafeteria-api/produtos
31-03-2026 19:12:04 | GET | cafeteria-api/produtos
31-03-2026 19:12:11 | GET | cafeteria-api/produtos
31-03-2026 19:12:12 | GET | cafeteria-api/produtos
31-03-2026 19:12:15 | GET | cafeteria-api/produtos
31-03-2026 19:12:17 | GET | cafeteria-api/produtos
31-03-2026 19:12:32 | GET | cafeteria-api/produtos
31-03-2026 19:12:32 | GET | cafeteria-api/produtos
31-03-2026 19:12:34 | GET | cafeteria-api/produtos
31-03-2026 19:12:35 | GET | cafeteria-api/categorias
31-03-2026 19:12:38 | GET | cafeteria-api/categorias
31-03-2026 19:12:39 | GET | cafeteria-api/categorias
31-03-2026 19:12:41 | GET | cafeteria-api/categorias
31-03-2026 19:12:41 | GET | cafeteria-api/categorias
31-03-2026 19:12:41 | GET | cafeteria-api/categorias
31-03-2026 19:12:42 | GET | cafeteria-api/categorias
31-03-2026 19:12:42 | GET | cafeteria-api/categorias
31-03-2026 19:12:43 | GET | cafeteria-api/categorias
31-03-2026 19:12:43 | GET | cafeteria-api/produtos
31-03-2026 19:13:06 | GET | cafeteria-api/produtos
31-03-2026 19:13:45 | GET | cafeteria-api/produtos
31-03-2026 19:13:46 | GET | cafeteria-api/categorias
31-03-2026 19:13:52 | GET | cafeteria-api/produtos
31-03-2026 19:14:14 | GET | cafeteria-api/produtos
31-03-2026 19:14:17 | GET | cafeteria-api/produtos
31-03-2026 19:14:59 | GET | cafeteria-api/produtos
31-03-2026 19:15:17 | GET | cafeteria-api/produtos
31-03-2026 19:15:45 | GET | cafeteria-api/produtos
31-03-2026 19:15:48 | GET | cafeteria-api/produtos
31-03-2026 19:15:53 | GET | cafeteria-api/produtos
31-03-2026 19:16:07 | GET | cafeteria-api/produtos
31-03-2026 19:16:11 | GET | cafeteria-api/produtos
31-03-2026 19:16:12 | GET | cafeteria-api/produtos
31-03-2026 19:16:12 | GET | cafeteria-api/produtos
31-03-2026 19:16:15 | GET | cafeteria-api/produtos
31-03-2026 19:16:19 | GET | cafeteria-api/produtos
31-03-2026 19:16:21 | GET | cafeteria-api/produtos
31-03-2026 19:16:26 | GET | cafeteria-api/produtos
31-03-2026 19:16:52 | GET | cafeteria-api/produtos
31-03-2026 19:17:00 | GET | cafeteria-api/produtos
31-03-2026 19:17:05 | GET | cafeteria-api/produtos
31-03-2026 19:17:09 | GET | cafeteria-api/produtos
31-03-2026 19:17:13 | GET | cafeteria-api/produtos
31-03-2026 19:17:48 | GET | cafeteria-api/produtos
31-03-2026 19:18:05 | GET | cafeteria-api/produtos
31-03-2026 19:18:07 | GET | cafeteria-api/produtos
31-03-2026 19:18:24 | GET | cafeteria-api/produtos
31-03-2026 19:18:26 | GET | cafeteria-api/produtos
31-03-2026 19:18:28 | GET | cafeteria-api/produtos
31-03-2026 19:20:55 | GET | cafeteria-api/produtos
31-03-2026 19:20:56 | GET | cafeteria-api/produtos
31-03-2026 19:25:44 | OPTIONS | cafeteria-api/produtos/1
31-03-2026 19:25:44 | DELETE | cafeteria-api/produtos/1
31-03-2026 19:25:44 | GET | cafeteria-api/produtos
31-03-2026 19:31:47 | GET | cafeteria-api/produtos
31-03-2026 19:32:34 | GET | cafeteria-api/produtos
31-03-2026 19:35:13 | POST | Cafeteria-API/produtos
31-03-2026 19:39:21 | POST | Cafeteria-API/produtos
31-03-2026 19:40:20 | POST | Cafeteria-API/produtos
31-03-2026 19:40:22 | POST | Cafeteria-API/produtos
31-03-2026 19:40:22 | POST | Cafeteria-API/produtos
31-03-2026 19:40:22 | POST | Cafeteria-API/produtos
31-03-2026 19:40:22 | POST | Cafeteria-API/produtos
31-03-2026 19:40:22 | POST | Cafeteria-API/produtos
31-03-2026 19:40:32 | POST | Cafeteria-API/produtos
31-03-2026 19:41:33 | POST | Cafeteria-API/produtos
31-03-2026 19:42:06 | POST | Cafeteria-API/produtos
31-03-2026 19:45:10 | GET | cafeteria-api/produtos
31-03-2026 19:45:16 | GET | cafeteria-api/produtos
31-03-2026 19:45:50 | GET | cafeteria-api/produtos
31-03-2026 19:45:52 | GET | cafeteria-api/produtos
31-03-2026 19:45:57 | GET | cafeteria-api/produtos
31-03-2026 19:46:02 | GET | cafeteria-api/produtos
31-03-2026 19:46:12 | GET | cafeteria-api/produtos
31-03-2026 19:46:14 | GET | cafeteria-api/produtos
31-03-2026 19:46:16 | GET | cafeteria-api/produtos
31-03-2026 19:46:28 | GET | cafeteria-api/produtos
31-03-2026 19:46:37 | GET | cafeteria-api/produtos
31-03-2026 19:46:57 | GET | cafeteria-api/produtos
31-03-2026 19:47:06 | GET | cafeteria-api/produtos
31-03-2026 19:47:12 | GET | cafeteria-api/produtos
31-03-2026 19:47:13 | GET | cafeteria-api/produtos
31-03-2026 19:47:21 | GET | cafeteria-api/produtos
31-03-2026 19:47:26 | GET | cafeteria-api/produtos
31-03-2026 19:48:13 | GET | cafeteria-api/produtos
31-03-2026 19:48:20 | GET | cafeteria-api/produtos
31-03-2026 19:48:25 | GET | cafeteria-api/produtos
31-03-2026 19:48:40 | GET | cafeteria-api/produtos
31-03-2026 19:48:41 | GET | cafeteria-api/produtos
31-03-2026 19:48:49 | GET | cafeteria-api/produtos
31-03-2026 19:48:55 | GET | cafeteria-api/produtos
31-03-2026 19:48:56 | GET | cafeteria-api/produtos
31-03-2026 19:49:01 | GET | cafeteria-api/produtos
31-03-2026 19:49:18 | POST | cafeteria-api/produtos
31-03-2026 19:50:03 | OPTIONS | cafeteria-api/produtos/4
31-03-2026 19:50:03 | DELETE | cafeteria-api/produtos/4
